  Día         X          Y          Z         VX         VY         VZ 
0.000000  -3.745368  7.567689  3.287418  -1.964671  -0.815757  0.252042 
0.365000  -3.747333  7.566873  3.287670  -1.964472  -0.816159  0.251868 
0.730000  -3.749297  7.566057  3.287922  -1.964273  -0.816560  0.251693 
1.095000  -3.751261  7.565240  3.288174  -1.964074  -0.816962  0.251519 
1.460000  -3.753225  7.564423  3.288425  -1.963875  -0.817363  0.251345 
1.825000  -3.755189  7.563606  3.288677  -1.963676  -0.817764  0.251170 
2.190000  -3.757153  7.562788  3.288928  -1.963477  -0.818166  0.250996 
2.555000  -3.759116  7.561970  3.289179  -1.963278  -0.818567  0.250821 
2.920000  -3.761080  7.561151  3.289430  -1.963078  -0.818968  0.250647 
3.285000  -3.763043  7.560332  3.289680  -1.962879  -0.819369  0.250472 
3.650000  -3.765006  7.559513  3.289931  -1.962679  -0.819770  0.250298 
4.015000  -3.766968  7.558693  3.290181  -1.962480  -0.820171  0.250123 
4.380000  -3.768931  7.557873  3.290431  -1.962280  -0.820571  0.249949 
4.745000  -3.770893  7.557052  3.290681  -1.962080  -0.820972  0.249774 
5.110000  -3.772855  7.556232  3.290931  -1.961880  -0.821373  0.249600 
5.475000  -3.774817  7.555410  3.291181  -1.961680  -0.821773  0.249426 
5.840000  -3.776779  7.554588  3.291430  -1.961480  -0.822174  0.249251 
6.205000  -3.778740  7.553766  3.291679  -1.961280  -0.822574  0.249077 
6.570000  -3.780701  7.552944  3.291928  -1.961080  -0.822975  0.248902 
6.935000  -3.782663  7.552121  3.292177  -1.960879  -0.823375  0.248728 
7.300000  -3.784623  7.551297  3.292426  -1.960679  -0.823775  0.248553 
7.665000  -3.786584  7.550474  3.292674  -1.960478  -0.824175  0.248379 
8.030000  -3.788545  7.549649  3.292923  -1.960278  -0.824575  0.248204 
8.395000  -3.790505  7.548825  3.293171  -1.960077  -0.824975  0.248030 
8.760000  -3.792465  7.548000  3.293419  -1.959876  -0.825375  0.247855 
9.125000  -3.794425  7.547174  3.293667  -1.959675  -0.825775  0.247681 
9.490000  -3.796384  7.546349  3.293915  -1.959474  -0.826175  0.247507 
9.855000  -3.798344  7.545522  3.294162  -1.959273  -0.826574  0.247332 
10.220000  -3.800303  7.544696  3.294409  -1.959072  -0.826974  0.247158 
10.585000  -3.802262  7.543869  3.294657  -1.958871  -0.827373  0.246983 
10.950000  -3.804221  7.543042  3.294904  -1.958669  -0.827773  0.246809 
11.315000  -3.806180  7.542214  3.295150  -1.958468  -0.828172  0.246634 
11.680000  -3.808138  7.541386  3.295397  -1.958266  -0.828572  0.246460 
12.045000  -3.810097  7.540557  3.295644  -1.958065  -0.828971  0.246285 
12.410000  -3.812055  7.539728  3.295890  -1.957863  -0.829370  0.246111 
12.775000  -3.814013  7.538899  3.296136  -1.957661  -0.829769  0.245936 
13.140000  -3.815970  7.538069  3.296382  -1.957460  -0.830168  0.245762 
13.505000  -3.817928  7.537239  3.296628  -1.957258  -0.830567  0.245588 
13.870000  -3.819885  7.536408  3.296873  -1.957056  -0.830966  0.245413 
14.235000  -3.821842  7.535577  3.297119  -1.956853  -0.831365  0.245239 
14.600000  -3.823799  7.534746  3.297364  -1.956651  -0.831763  0.245064 
14.965000  -3.825755  7.533914  3.297609  -1.956449  -0.832162  0.244890 
15.330000  -3.827712  7.533082  3.297854  -1.956246  -0.832561  0.244715 
15.695000  -3.829668  7.532249  3.298099  -1.956044  -0.832959  0.244541 
16.060000  -3.831624  7.531416  3.298343  -1.955841  -0.833358  0.244366 
16.425000  -3.833580  7.530583  3.298587  -1.955639  -0.833756  0.244192 
16.790000  -3.835536  7.529749  3.298832  -1.955436  -0.834154  0.244017 
17.155000  -3.837491  7.528915  3.299076  -1.955233  -0.834552  0.243843 
17.520000  -3.839446  7.528081  3.299319  -1.955030  -0.834951  0.243668 
17.885000  -3.841401  7.527246  3.299563  -1.954827  -0.835349  0.243494 
18.250000  -3.843356  7.526410  3.299807  -1.954624  -0.835747  0.243320 
18.615000  -3.845311  7.525575  3.300050  -1.954421  -0.836145  0.243145 
18.980000  -3.847265  7.524738  3.300293  -1.954218  -0.836542  0.242971 
19.345000  -3.849219  7.523902  3.300536  -1.954014  -0.836940  0.242796 
19.710000  -3.851173  7.523065  3.300779  -1.953811  -0.837338  0.242622 
20.075000  -3.853127  7.522228  3.301021  -1.953607  -0.837736  0.242447 
20.440000  -3.855081  7.521390  3.301264  -1.953404  -0.838133  0.242273 
20.805000  -3.857034  7.520552  3.301506  -1.953200  -0.838531  0.242098 
21.170000  -3.858987  7.519713  3.301748  -1.952996  -0.838928  0.241924 
21.535000  -3.860940  7.518874  3.301990  -1.952792  -0.839325  0.241749 
21.900000  -3.862893  7.518035  3.302232  -1.952588  -0.839723  0.241575 
22.265000  -3.864846  7.517195  3.302474  -1.952384  -0.840120  0.241401 
22.630000  -3.866798  7.516355  3.302715  -1.952180  -0.840517  0.241226 
22.995000  -3.868750  7.515515  3.302956  -1.951976  -0.840914  0.241052 
23.360000  -3.870702  7.514674  3.303197  -1.951771  -0.841311  0.240877 
23.725000  -3.872654  7.513832  3.303438  -1.951567  -0.841708  0.240703 
24.090000  -3.874606  7.512991  3.303679  -1.951362  -0.842105  0.240528 
24.455000  -3.876557  7.512149  3.303919  -1.951158  -0.842501  0.240354 
24.820000  -3.878508  7.511306  3.304160  -1.950953  -0.842898  0.240179 
25.185000  -3.880459  7.510463  3.304400  -1.950748  -0.843294  0.240005 
25.550000  -3.882410  7.509620  3.304640  -1.950543  -0.843691  0.239830 
25.915000  -3.884361  7.508776  3.304880  -1.950338  -0.844087  0.239656 
26.280000  -3.886311  7.507932  3.305119  -1.950133  -0.844484  0.239482 
26.645000  -3.888261  7.507088  3.305359  -1.949928  -0.844880  0.239307 
27.010000  -3.890211  7.506243  3.305598  -1.949723  -0.845276  0.239133 
27.375000  -3.892161  7.505397  3.305837  -1.949518  -0.845672  0.238958 
27.740000  -3.894110  7.504552  3.306076  -1.949312  -0.846069  0.238784 
28.105000  -3.896059  7.503706  3.306315  -1.949107  -0.846465  0.238609 
28.470000  -3.898009  7.502859  3.306554  -1.948901  -0.846860  0.238435 
28.835000  -3.899957  7.502012  3.306792  -1.948696  -0.847256  0.238260 
29.200000  -3.901906  7.501165  3.307030  -1.948490  -0.847652  0.238086 
29.565000  -3.903855  7.500317  3.307268  -1.948284  -0.848048  0.237911 
29.930000  -3.905803  7.499469  3.307506  -1.948078  -0.848443  0.237737 
30.295000  -3.907751  7.498621  3.307744  -1.947872  -0.848839  0.237563 
30.660000  -3.909699  7.497772  3.307982  -1.947666  -0.849234  0.237388 
31.025000  -3.911647  7.496923  3.308219  -1.947460  -0.849630  0.237214 
31.390000  -3.913594  7.496073  3.308456  -1.947254  -0.850025  0.237039 
31.755000  -3.915541  7.495223  3.308693  -1.947047  -0.850420  0.236865 
32.120000  -3.917488  7.494373  3.308930  -1.946841  -0.850816  0.236690 
32.485000  -3.919435  7.493522  3.309167  -1.946634  -0.851211  0.236516 
32.850000  -3.921382  7.492671  3.309403  -1.946428  -0.851606  0.236341 
33.215000  -3.923328  7.491819  3.309640  -1.946221  -0.852001  0.236167 
33.580000  -3.925274  7.490967  3.309876  -1.946014  -0.852396  0.235992 
33.945000  -3.927220  7.490115  3.310112  -1.945807  -0.852790  0.235818 
34.310000  -3.929166  7.489262  3.310348  -1.945600  -0.853185  0.235644 
34.675000  -3.931112  7.488409  3.310583  -1.945393  -0.853580  0.235469 
35.040000  -3.933057  7.487555  3.310819  -1.945186  -0.853974  0.235295 
35.405000  -3.935002  7.486701  3.311054  -1.944979  -0.854369  0.235120 
35.770000  -3.936947  7.485847  3.311289  -1.944771  -0.854763  0.234946 
36.135000  -3.938892  7.484992  3.311524  -1.944564  -0.855158  0.234771 
36.500000  -3.940837  7.484137  3.311759  -1.944357  -0.855552  0.234597 
36.865000  -3.942781  7.483281  3.311993  -1.944149  -0.855946  0.234422 
37.230000  -3.944725  7.482425  3.312228  -1.943941  -0.856340  0.234248 
37.595000  -3.946669  7.481569  3.312462  -1.943734  -0.856735  0.234074 
37.960000  -3.948613  7.480712  3.312696  -1.943526  -0.857129  0.233899 
38.325000  -3.950556  7.479855  3.312930  -1.943318  -0.857522  0.233725 
38.690000  -3.952500  7.478998  3.313164  -1.943110  -0.857916  0.233550 
39.055000  -3.954443  7.478140  3.313397  -1.942902  -0.858310  0.233376 
39.420000  -3.956386  7.477281  3.313631  -1.942694  -0.858704  0.233201 
39.785000  -3.958328  7.476423  3.313864  -1.942485  -0.859097  0.233027 
40.150000  -3.960271  7.475564  3.314097  -1.942277  -0.859491  0.232852 
