  Día         X          Y          Z         VX         VY         VZ 
0.000000  18.387391  -7.246529  -3.433814  0.563249  1.145486  0.493765 
3.650000  18.393024  -7.235074  -3.428876  0.562350  1.145841  0.493933 
7.300000  18.398647  -7.223615  -3.423937  0.561451  1.146194  0.494101 
10.950000  18.404262  -7.212153  -3.418996  0.560551  1.146548  0.494268 
14.600000  18.409867  -7.200688  -3.414053  0.559651  1.146900  0.494435 
18.250000  18.415464  -7.189219  -3.409109  0.558750  1.147253  0.494602 
21.900000  18.421052  -7.177746  -3.404163  0.557850  1.147604  0.494769 
25.550000  18.426630  -7.166270  -3.399215  0.556949  1.147955  0.494935 
29.200000  18.432199  -7.154791  -3.394266  0.556048  1.148305  0.495102 
32.850000  18.437760  -7.143308  -3.389315  0.555147  1.148655  0.495268 
36.500000  18.443311  -7.131821  -3.384362  0.554245  1.149005  0.495433 
40.150000  18.448854  -7.120331  -3.379408  0.553344  1.149353  0.495599 
43.800000  18.454387  -7.108838  -3.374452  0.552442  1.149701  0.495764 
47.450000  18.459912  -7.097341  -3.369494  0.551539  1.150049  0.495929 
51.100000  18.465427  -7.085840  -3.364535  0.550637  1.150396  0.496094 
54.750000  18.470934  -7.074336  -3.359574  0.549734  1.150742  0.496258 
58.400000  18.476431  -7.062829  -3.354611  0.548831  1.151088  0.496422 
62.050000  18.481919  -7.051318  -3.349647  0.547928  1.151434  0.496586 
65.700000  18.487398  -7.039804  -3.344681  0.547024  1.151778  0.496750 
69.350000  18.492869  -7.028286  -3.339714  0.546121  1.152122  0.496914 
73.000000  18.498330  -7.016765  -3.334745  0.545217  1.152466  0.497077 
76.650000  18.503782  -7.005240  -3.329774  0.544312  1.152809  0.497240 
80.300000  18.509225  -6.993712  -3.324802  0.543408  1.153151  0.497403 
83.950000  18.514659  -6.982180  -3.319828  0.542503  1.153493  0.497565 
87.600000  18.520084  -6.970645  -3.314852  0.541598  1.153834  0.497727 
91.250000  18.525500  -6.959107  -3.309875  0.540693  1.154175  0.497889 
94.900000  18.530907  -6.947565  -3.304896  0.539788  1.154515  0.498051 
98.550000  18.536305  -6.936020  -3.299915  0.538882  1.154855  0.498213 
102.200000  18.541694  -6.924472  -3.294933  0.537976  1.155194  0.498374 
105.850000  18.547074  -6.912920  -3.289949  0.537070  1.155532  0.498535 
109.500000  18.552444  -6.901364  -3.284964  0.536164  1.155870  0.498696 
113.150000  18.557806  -6.889806  -3.279977  0.535257  1.156207  0.498856 
116.800000  18.563159  -6.878244  -3.274988  0.534350  1.156544  0.499017 
120.450000  18.568502  -6.866678  -3.269998  0.533443  1.156880  0.499177 
124.100000  18.573837  -6.855109  -3.265007  0.532536  1.157216  0.499336 
127.750000  18.579162  -6.843537  -3.260013  0.531628  1.157551  0.499496 
131.400000  18.584478  -6.831962  -3.255018  0.530720  1.157885  0.499655 
135.050000  18.589785  -6.820383  -3.250022  0.529812  1.158219  0.499814 
138.700000  18.595083  -6.808801  -3.245024  0.528904  1.158552  0.499973 
142.350000  18.600373  -6.797215  -3.240024  0.527995  1.158885  0.500132 
146.000000  18.605652  -6.785626  -3.235022  0.527087  1.159217  0.500290 
149.650000  18.610923  -6.774034  -3.230020  0.526178  1.159548  0.500448 
153.300000  18.616185  -6.762439  -3.225015  0.525268  1.159879  0.500606 
156.950000  18.621438  -6.750840  -3.220009  0.524359  1.160210  0.500763 
160.600000  18.626681  -6.739238  -3.215001  0.523449  1.160539  0.500921 
164.250000  18.631916  -6.727632  -3.209992  0.522539  1.160869  0.501078 
167.900000  18.637141  -6.716024  -3.204981  0.521629  1.161197  0.501235 
171.550000  18.642358  -6.704412  -3.199969  0.520719  1.161525  0.501391 
175.200000  18.647565  -6.692796  -3.194955  0.519808  1.161853  0.501547 
178.850000  18.652763  -6.681178  -3.189940  0.518897  1.162180  0.501704 
182.500000  18.657952  -6.669556  -3.184923  0.517986  1.162506  0.501859 
186.150000  18.663132  -6.657931  -3.179904  0.517075  1.162832  0.502015 
189.800000  18.668302  -6.646303  -3.174884  0.516163  1.163157  0.502170 
193.450000  18.673464  -6.634671  -3.169862  0.515251  1.163482  0.502325 
197.100000  18.678617  -6.623036  -3.164839  0.514339  1.163806  0.502480 
200.750000  18.683760  -6.611398  -3.159814  0.513427  1.164129  0.502635 
204.400000  18.688894  -6.599757  -3.154788  0.512515  1.164452  0.502789 
208.050000  18.694019  -6.588112  -3.149760  0.511602  1.164774  0.502943 
211.700000  18.699135  -6.576465  -3.144730  0.510689  1.165096  0.503097 
215.350000  18.704242  -6.564814  -3.139700  0.509776  1.165417  0.503250 
219.000000  18.709340  -6.553160  -3.134667  0.508862  1.165738  0.503404 
222.650000  18.714429  -6.541502  -3.129633  0.507949  1.166058  0.503557 
226.300000  18.719508  -6.529842  -3.124597  0.507035  1.166377  0.503710 
229.950000  18.724578  -6.518178  -3.119560  0.506121  1.166696  0.503862 
233.600000  18.729640  -6.506511  -3.114522  0.505207  1.167014  0.504015 
237.250000  18.734692  -6.494841  -3.109482  0.504292  1.167332  0.504167 
240.900000  18.739735  -6.483167  -3.104440  0.503377  1.167649  0.504318 
244.550000  18.744768  -6.471491  -3.099397  0.502462  1.167966  0.504470 
248.200000  18.749793  -6.459811  -3.094352  0.501547  1.168282  0.504621 
251.850000  18.754809  -6.448128  -3.089306  0.500632  1.168597  0.504772 
255.500000  18.759815  -6.436442  -3.084258  0.499716  1.168912  0.504923 
259.150000  18.764812  -6.424753  -3.079209  0.498800  1.169226  0.505074 
262.800000  18.769800  -6.413061  -3.074158  0.497884  1.169540  0.505224 
266.450000  18.774779  -6.401366  -3.069106  0.496968  1.169853  0.505374 
270.100000  18.779749  -6.389667  -3.064052  0.496051  1.170165  0.505524 
273.750000  18.784709  -6.377966  -3.058997  0.495134  1.170477  0.505674 
277.400000  18.789660  -6.366261  -3.053940  0.494217  1.170789  0.505823 
281.050000  18.794603  -6.354553  -3.048882  0.493300  1.171100  0.505972 
284.700000  18.799536  -6.342842  -3.043822  0.492383  1.171410  0.506121 
288.350000  18.804459  -6.331128  -3.038761  0.491465  1.171719  0.506269 
292.000000  18.809374  -6.319411  -3.033698  0.490547  1.172028  0.506418 
295.650000  18.814280  -6.307690  -3.028634  0.489629  1.172337  0.506566 
299.300000  18.819176  -6.295967  -3.023568  0.488711  1.172645  0.506714 
302.950000  18.824063  -6.284240  -3.018501  0.487792  1.172952  0.506861 
306.600000  18.828941  -6.272511  -3.013433  0.486873  1.173259  0.507009 
310.250000  18.833810  -6.260778  -3.008363  0.485954  1.173565  0.507156 
313.900000  18.838669  -6.249043  -3.003291  0.485035  1.173870  0.507303 
317.550000  18.843519  -6.237304  -2.998218  0.484116  1.174175  0.507449 
321.200000  18.848361  -6.225562  -2.993144  0.483196  1.174480  0.507595 
324.850000  18.853193  -6.213817  -2.988068  0.482276  1.174784  0.507741 
328.500000  18.858015  -6.202070  -2.982990  0.481356  1.175087  0.507887 
332.150000  18.862829  -6.190319  -2.977911  0.480436  1.175389  0.508033 
335.800000  18.867633  -6.178565  -2.972831  0.479516  1.175692  0.508178 
339.450000  18.872428  -6.166808  -2.967749  0.478595  1.175993  0.508323 
343.100000  18.877214  -6.155048  -2.962666  0.477674  1.176294  0.508468 
346.750000  18.881991  -6.143285  -2.957581  0.476753  1.176594  0.508613 
350.400000  18.886759  -6.131519  -2.952495  0.475831  1.176894  0.508757 
354.050000  18.891517  -6.119750  -2.947408  0.474910  1.177193  0.508901 
357.700000  18.896266  -6.107978  -2.942319  0.473988  1.177492  0.509045 
361.350000  18.901006  -6.096203  -2.937228  0.473066  1.177790  0.509188 
365.000000  18.905737  -6.084425  -2.932136  0.472144  1.178087  0.509332 
368.650000  18.910458  -6.072645  -2.927043  0.471222  1.178384  0.509475 
372.300000  18.915170  -6.060861  -2.921948  0.470299  1.178680  0.509618 
375.950000  18.919873  -6.049074  -2.916852  0.469376  1.178976  0.509760 
379.600000  18.924567  -6.037284  -2.911754  0.468453  1.179271  0.509902 
383.250000  18.929252  -6.025491  -2.906655  0.467530  1.179566  0.510044 
386.900000  18.933927  -6.013696  -2.901555  0.466606  1.179860  0.510186 
390.550000  18.938593  -6.001897  -2.896453  0.465683  1.180153  0.510328 
394.200000  18.943250  -5.990096  -2.891350  0.464759  1.180446  0.510469 
397.850000  18.947897  -5.978291  -2.886245  0.463835  1.180738  0.510610 
401.500000  18.952536  -5.966484  -2.881139  0.462910  1.181030  0.510751 
405.150000  18.957165  -5.954674  -2.876031  0.461986  1.181321  0.510892 
408.800000  18.961785  -5.942860  -2.870923  0.461061  1.181611  0.511032 
412.450000  18.966395  -5.931044  -2.865812  0.460136  1.181901  0.511172 
416.100000  18.970997  -5.919225  -2.860701  0.459211  1.182190  0.511312 
419.750000  18.975589  -5.907403  -2.855587  0.458286  1.182479  0.511451 
423.400000  18.980172  -5.895578  -2.850473  0.457360  1.182767  0.511590 
427.050000  18.984745  -5.883751  -2.845357  0.456435  1.183055  0.511729 
430.700000  18.989310  -5.871920  -2.840240  0.455509  1.183342  0.511868 
434.350000  18.993865  -5.860087  -2.835121  0.454582  1.183628  0.512007 
438.000000  18.998410  -5.848251  -2.830001  0.453656  1.183914  0.512145 
441.650000  19.002947  -5.836411  -2.824879  0.452729  1.184199  0.512283 
445.300000  19.007474  -5.824569  -2.819757  0.451803  1.184484  0.512421 
448.950000  19.011992  -5.812725  -2.814632  0.450876  1.184768  0.512558 
452.600000  19.016501  -5.800877  -2.809507  0.449949  1.185051  0.512696 
456.250000  19.021001  -5.789026  -2.804380  0.449021  1.185334  0.512833 
459.900000  19.025491  -5.777173  -2.799252  0.448094  1.185617  0.512969 
463.550000  19.029972  -5.765317  -2.794122  0.447166  1.185898  0.513106 
467.200000  19.034443  -5.753458  -2.788991  0.446238  1.186179  0.513242 
470.850000  19.038906  -5.741596  -2.783858  0.445310  1.186460  0.513378 
474.500000  19.043359  -5.729732  -2.778725  0.444381  1.186740  0.513514 
478.150000  19.047803  -5.717864  -2.773589  0.443453  1.187019  0.513649 
481.800000  19.052237  -5.705994  -2.768453  0.442524  1.187298  0.513785 
485.450000  19.056662  -5.694121  -2.763315  0.441595  1.187576  0.513920 
489.100000  19.061078  -5.682245  -2.758176  0.440666  1.187854  0.514054 
