  Día         X          Y          Z         VX         VY         VZ 
0.000000  -5.384800  -0.842552  -0.230045  0.403055  -2.380505  -1.030174 
0.365000  -5.384397  -0.844932  -0.231075  0.404365  -2.380300  -1.030118 
0.730000  -5.383993  -0.847313  -0.232106  0.405674  -2.380094  -1.030062 
1.095000  -5.383587  -0.849693  -0.233136  0.406984  -2.379888  -1.030005 
1.460000  -5.383180  -0.852072  -0.234166  0.408293  -2.379682  -1.029949 
1.825000  -5.382772  -0.854452  -0.235196  0.409602  -2.379475  -1.029892 
2.190000  -5.382362  -0.856832  -0.236225  0.410911  -2.379267  -1.029835 
2.555000  -5.381951  -0.859211  -0.237255  0.412220  -2.379058  -1.029777 
2.920000  -5.381539  -0.861590  -0.238285  0.413528  -2.378849  -1.029719 
3.285000  -5.381126  -0.863969  -0.239315  0.414837  -2.378640  -1.029662 
3.650000  -5.380711  -0.866347  -0.240344  0.416145  -2.378430  -1.029603 
4.015000  -5.380295  -0.868726  -0.241374  0.417454  -2.378219  -1.029545 
4.380000  -5.379877  -0.871104  -0.242404  0.418762  -2.378008  -1.029486 
4.745000  -5.379458  -0.873482  -0.243433  0.420070  -2.377796  -1.029427 
5.110000  -5.379038  -0.875860  -0.244462  0.421378  -2.377584  -1.029368 
5.475000  -5.378617  -0.878238  -0.245492  0.422686  -2.377371  -1.029309 
5.840000  -5.378194  -0.880615  -0.246521  0.423994  -2.377157  -1.029249 
6.205000  -5.377770  -0.882992  -0.247550  0.425302  -2.376943  -1.029189 
6.570000  -5.377345  -0.885369  -0.248580  0.426610  -2.376728  -1.029129 
6.935000  -5.376918  -0.887746  -0.249609  0.427917  -2.376513  -1.029068 
7.300000  -5.376490  -0.890122  -0.250638  0.429224  -2.376297  -1.029008 
7.665000  -5.376061  -0.892499  -0.251667  0.430532  -2.376081  -1.028947 
8.030000  -5.375631  -0.894875  -0.252696  0.431839  -2.375864  -1.028886 
8.395000  -5.375199  -0.897250  -0.253725  0.433146  -2.375646  -1.028824 
8.760000  -5.374766  -0.899626  -0.254753  0.434453  -2.375428  -1.028762 
9.125000  -5.374331  -0.902002  -0.255782  0.435760  -2.375209  -1.028700 
9.490000  -5.373896  -0.904377  -0.256811  0.437066  -2.374990  -1.028638 
9.855000  -5.373458  -0.906752  -0.257840  0.438373  -2.374770  -1.028576 
10.220000  -5.373020  -0.909127  -0.258868  0.439680  -2.374550  -1.028513 
10.585000  -5.372580  -0.911501  -0.259897  0.440986  -2.374329  -1.028450 
10.950000  -5.372139  -0.913875  -0.260925  0.442292  -2.374107  -1.028387 
11.315000  -5.371697  -0.916249  -0.261953  0.443598  -2.373885  -1.028324 
11.680000  -5.371254  -0.918623  -0.262982  0.444904  -2.373662  -1.028260 
12.045000  -5.370809  -0.920997  -0.264010  0.446210  -2.373439  -1.028196 
12.410000  -5.370362  -0.923370  -0.265038  0.447516  -2.373215  -1.028132 
12.775000  -5.369915  -0.925744  -0.266066  0.448822  -2.372990  -1.028067 
13.140000  -5.369466  -0.928117  -0.267094  0.450127  -2.372765  -1.028003 
13.505000  -5.369016  -0.930489  -0.268122  0.451433  -2.372540  -1.027938 
13.870000  -5.368565  -0.932862  -0.269150  0.452738  -2.372313  -1.027872 
14.235000  -5.368112  -0.935234  -0.270178  0.454043  -2.372087  -1.027807 
14.600000  -5.367658  -0.937606  -0.271206  0.455348  -2.371859  -1.027741 
14.965000  -5.367202  -0.939978  -0.272234  0.456653  -2.371631  -1.027675 
15.330000  -5.366746  -0.942350  -0.273262  0.457958  -2.371403  -1.027609 
15.695000  -5.366288  -0.944721  -0.274289  0.459263  -2.371174  -1.027543 
16.060000  -5.365829  -0.947092  -0.275317  0.460567  -2.370944  -1.027476 
16.425000  -5.365368  -0.949463  -0.276344  0.461872  -2.370714  -1.027409 
16.790000  -5.364906  -0.951834  -0.277372  0.463176  -2.370483  -1.027342 
17.155000  -5.364443  -0.954205  -0.278399  0.464481  -2.370251  -1.027275 
17.520000  -5.363978  -0.956575  -0.279426  0.465785  -2.370019  -1.027207 
17.885000  -5.363513  -0.958945  -0.280453  0.467089  -2.369787  -1.027139 
18.250000  -5.363046  -0.961315  -0.281481  0.468393  -2.369554  -1.027071 
18.615000  -5.362577  -0.963684  -0.282508  0.469696  -2.369320  -1.027002 
18.980000  -5.362107  -0.966054  -0.283535  0.471000  -2.369086  -1.026934 
19.345000  -5.361636  -0.968423  -0.284562  0.472303  -2.368851  -1.026865 
19.710000  -5.361164  -0.970791  -0.285588  0.473607  -2.368616  -1.026796 
20.075000  -5.360691  -0.973160  -0.286615  0.474910  -2.368380  -1.026726 
20.440000  -5.360216  -0.975528  -0.287642  0.476213  -2.368143  -1.026656 
20.805000  -5.359739  -0.977897  -0.288669  0.477516  -2.367906  -1.026587 
21.170000  -5.359262  -0.980265  -0.289695  0.478819  -2.367668  -1.026516 
21.535000  -5.358783  -0.982632  -0.290722  0.480122  -2.367430  -1.026446 
21.900000  -5.358303  -0.985000  -0.291748  0.481425  -2.367191  -1.026375 
22.265000  -5.357822  -0.987367  -0.292774  0.482727  -2.366952  -1.026304 
22.630000  -5.357339  -0.989734  -0.293801  0.484030  -2.366712  -1.026233 
22.995000  -5.356855  -0.992100  -0.294827  0.485332  -2.366471  -1.026162 
23.360000  -5.356369  -0.994467  -0.295853  0.486634  -2.366230  -1.026090 
23.725000  -5.355883  -0.996833  -0.296879  0.487936  -2.365988  -1.026018 
24.090000  -5.355395  -0.999199  -0.297905  0.489238  -2.365746  -1.025946 
24.455000  -5.354906  -1.001565  -0.298931  0.490540  -2.365503  -1.025874 
24.820000  -5.354415  -1.003930  -0.299957  0.491841  -2.365259  -1.025801 
25.185000  -5.353923  -1.006296  -0.300983  0.493143  -2.365015  -1.025728 
25.550000  -5.353430  -1.008661  -0.302009  0.494444  -2.364771  -1.025655 
25.915000  -5.352936  -1.011025  -0.303034  0.495746  -2.364526  -1.025581 
26.280000  -5.352440  -1.013390  -0.304060  0.497047  -2.364280  -1.025508 
26.645000  -5.351943  -1.015754  -0.305085  0.498348  -2.364033  -1.025434 
27.010000  -5.351445  -1.018118  -0.306111  0.499649  -2.363787  -1.025360 
27.375000  -5.350945  -1.020482  -0.307136  0.500950  -2.363539  -1.025285 
27.740000  -5.350444  -1.022846  -0.308161  0.502250  -2.363291  -1.025211 
28.105000  -5.349942  -1.025209  -0.309187  0.503551  -2.363042  -1.025136 
28.470000  -5.349438  -1.027572  -0.310212  0.504851  -2.362793  -1.025061 
28.835000  -5.348933  -1.029935  -0.311237  0.506151  -2.362543  -1.024985 
29.200000  -5.348427  -1.032297  -0.312262  0.507451  -2.362293  -1.024910 
29.565000  -5.347920  -1.034660  -0.313287  0.508751  -2.362042  -1.024834 
29.930000  -5.347411  -1.037022  -0.314312  0.510051  -2.361791  -1.024758 
30.295000  -5.346901  -1.039383  -0.315336  0.511351  -2.361539  -1.024681 
30.660000  -5.346390  -1.041745  -0.316361  0.512651  -2.361286  -1.024604 
31.025000  -5.345877  -1.044106  -0.317386  0.513950  -2.361033  -1.024528 
31.390000  -5.345363  -1.046467  -0.318410  0.515250  -2.360779  -1.024450 
31.755000  -5.344848  -1.048828  -0.319435  0.516549  -2.360525  -1.024373 
32.120000  -5.344331  -1.051189  -0.320459  0.517848  -2.360270  -1.024295 
32.485000  -5.343813  -1.053549  -0.321483  0.519147  -2.360014  -1.024218 
32.850000  -5.343294  -1.055909  -0.322507  0.520446  -2.359758  -1.024139 
33.215000  -5.342774  -1.058269  -0.323532  0.521744  -2.359502  -1.024061 
33.580000  -5.342252  -1.060628  -0.324556  0.523043  -2.359244  -1.023982 
33.945000  -5.341729  -1.062987  -0.325580  0.524341  -2.358987  -1.023904 
34.310000  -5.341205  -1.065346  -0.326604  0.525640  -2.358728  -1.023824 
34.675000  -5.340679  -1.067705  -0.327627  0.526938  -2.358469  -1.023745 
35.040000  -5.340152  -1.070064  -0.328651  0.528236  -2.358210  -1.023665 
35.405000  -5.339624  -1.072422  -0.329675  0.529534  -2.357950  -1.023585 
35.770000  -5.339094  -1.074780  -0.330698  0.530831  -2.357689  -1.023505 
36.135000  -5.338563  -1.077137  -0.331722  0.532129  -2.357428  -1.023425 
36.500000  -5.338031  -1.079495  -0.332745  0.533427  -2.357166  -1.023344 
36.865000  -5.337498  -1.081852  -0.333769  0.534724  -2.356904  -1.023263 
37.230000  -5.336963  -1.084209  -0.334792  0.536021  -2.356641  -1.023182 
37.595000  -5.336427  -1.086566  -0.335815  0.537318  -2.356377  -1.023101 
37.960000  -5.335890  -1.088922  -0.336838  0.538615  -2.356113  -1.023019 
38.325000  -5.335351  -1.091278  -0.337861  0.539912  -2.355849  -1.022938 
38.690000  -5.334811  -1.093634  -0.338884  0.541209  -2.355583  -1.022855 
39.055000  -5.334270  -1.095989  -0.339907  0.542505  -2.355318  -1.022773 
39.420000  -5.333728  -1.098345  -0.340930  0.543802  -2.355051  -1.022690 
39.785000  -5.333184  -1.100700  -0.341953  0.545098  -2.354784  -1.022608 
40.150000  -5.332639  -1.103055  -0.342975  0.546394  -2.354517  -1.022524 
40.515000  -5.332092  -1.105409  -0.343998  0.547690  -2.354249  -1.022441 
40.880000  -5.331545  -1.107763  -0.345020  0.548986  -2.353980  -1.022358 
41.245000  -5.330996  -1.110117  -0.346042  0.550282  -2.353711  -1.022274 
41.610000  -5.330445  -1.112471  -0.347065  0.551577  -2.353441  -1.022190 
41.975000  -5.329894  -1.114824  -0.348087  0.552873  -2.353171  -1.022105 
42.340000  -5.329341  -1.117178  -0.349109  0.554168  -2.352900  -1.022021 
42.705000  -5.328787  -1.119531  -0.350131  0.555463  -2.352628  -1.021936 
43.070000  -5.328231  -1.121883  -0.351153  0.556758  -2.352356  -1.021851 
43.435000  -5.327674  -1.124236  -0.352175  0.558053  -2.352084  -1.021765 
43.800000  -5.327116  -1.126588  -0.353197  0.559348  -2.351810  -1.021680 
44.165000  -5.326557  -1.128939  -0.354218  0.560642  -2.351537  -1.021594 
44.530000  -5.325996  -1.131291  -0.355240  0.561937  -2.351262  -1.021508 
44.895000  -5.325434  -1.133642  -0.356261  0.563231  -2.350987  -1.021422 
45.260000  -5.324871  -1.135993  -0.357283  0.564525  -2.350712  -1.021335 
45.625000  -5.324307  -1.138344  -0.358304  0.565819  -2.350436  -1.021248 
45.990000  -5.323741  -1.140694  -0.359325  0.567113  -2.350159  -1.021161 
46.355000  -5.323174  -1.143045  -0.360347  0.568407  -2.349882  -1.021074 
46.720000  -5.322605  -1.145394  -0.361368  0.569701  -2.349604  -1.020986 
47.085000  -5.322036  -1.147744  -0.362389  0.570994  -2.349326  -1.020898 
47.450000  -5.321465  -1.150093  -0.363409  0.572287  -2.349047  -1.020810 
47.815000  -5.320892  -1.152442  -0.364430  0.573581  -2.348767  -1.020722 
48.180000  -5.320319  -1.154791  -0.365451  0.574874  -2.348487  -1.020633 
48.545000  -5.319744  -1.157140  -0.366472  0.576167  -2.348207  -1.020545 
48.910000  -5.319168  -1.159488  -0.367492  0.577459  -2.347925  -1.020456 
49.275000  -5.318590  -1.161836  -0.368513  0.578752  -2.347644  -1.020366 
49.640000  -5.318012  -1.164183  -0.369533  0.580044  -2.347361  -1.020277 
50.005000  -5.317431  -1.166531  -0.370553  0.581337  -2.347078  -1.020187 
50.370000  -5.316850  -1.168878  -0.371573  0.582629  -2.346795  -1.020097 
50.735000  -5.316268  -1.171225  -0.372594  0.583921  -2.346511  -1.020007 
51.100000  -5.315684  -1.173571  -0.373614  0.585213  -2.346226  -1.019916 
51.465000  -5.315098  -1.175917  -0.374633  0.586505  -2.345941  -1.019825 
51.830000  -5.314512  -1.178263  -0.375653  0.587796  -2.345655  -1.019734 
52.195000  -5.313924  -1.180609  -0.376673  0.589088  -2.345369  -1.019643 
52.560000  -5.313335  -1.182954  -0.377693  0.590379  -2.345082  -1.019551 
52.925000  -5.312745  -1.185299  -0.378712  0.591670  -2.344795  -1.019460 
53.290000  -5.312153  -1.187644  -0.379732  0.592961  -2.344507  -1.019368 
53.655000  -5.311560  -1.189989  -0.380751  0.594252  -2.344218  -1.019275 
54.020000  -5.310966  -1.192333  -0.381770  0.595543  -2.343929  -1.019183 
54.385000  -5.310370  -1.194677  -0.382790  0.596833  -2.343639  -1.019090 
54.750000  -5.309773  -1.197021  -0.383809  0.598124  -2.343349  -1.018997 
55.115000  -5.309175  -1.199364  -0.384828  0.599414  -2.343058  -1.018904 
55.480000  -5.308576  -1.201707  -0.385847  0.600704  -2.342766  -1.018810 
55.845000  -5.307975  -1.204050  -0.386865  0.601994  -2.342474  -1.018716 
56.210000  -5.307373  -1.206392  -0.387884  0.603284  -2.342182  -1.018622 
56.575000  -5.306770  -1.208734  -0.388903  0.604574  -2.341889  -1.018528 
56.940000  -5.306165  -1.211076  -0.389921  0.605863  -2.341595  -1.018434 
57.305000  -5.305559  -1.213418  -0.390940  0.607153  -2.341301  -1.018339 
57.670000  -5.304952  -1.215759  -0.391958  0.608442  -2.341006  -1.018244 
58.035000  -5.304344  -1.218100  -0.392976  0.609731  -2.340710  -1.018149 
58.400000  -5.303734  -1.220441  -0.393994  0.611020  -2.340414  -1.018053 
58.765000  -5.303123  -1.222781  -0.395012  0.612309  -2.340118  -1.017957 
59.130000  -5.302511  -1.225121  -0.396030  0.613597  -2.339821  -1.017861 
59.495000  -5.301897  -1.227461  -0.397048  0.614886  -2.339523  -1.017765 
59.860000  -5.301282  -1.229801  -0.398066  0.616174  -2.339225  -1.017669 
60.225000  -5.300666  -1.232140  -0.399084  0.617462  -2.338926  -1.017572 
60.590000  -5.300049  -1.234479  -0.400101  0.618750  -2.338627  -1.017475 
60.955000  -5.299430  -1.236818  -0.401119  0.620038  -2.338327  -1.017378 
61.320000  -5.298810  -1.239156  -0.402136  0.621326  -2.338026  -1.017280 
61.685000  -5.298189  -1.241494  -0.403153  0.622613  -2.337725  -1.017183 
62.050000  -5.297566  -1.243832  -0.404171  0.623901  -2.337423  -1.017085 
62.415000  -5.296942  -1.246169  -0.405188  0.625188  -2.337121  -1.016986 
62.780000  -5.296317  -1.248506  -0.406205  0.626475  -2.336818  -1.016888 
63.145000  -5.295690  -1.250843  -0.407222  0.627762  -2.336515  -1.016789 
63.510000  -5.295063  -1.253179  -0.408238  0.629049  -2.336211  -1.016690 
63.875000  -5.294434  -1.255516  -0.409255  0.630336  -2.335906  -1.016591 
64.240000  -5.293803  -1.257852  -0.410272  0.631622  -2.335601  -1.016492 
64.605000  -5.293172  -1.260187  -0.411288  0.632908  -2.335296  -1.016392 
64.970000  -5.292539  -1.262522  -0.412304  0.634195  -2.334989  -1.016292 
65.335000  -5.291904  -1.264857  -0.413321  0.635481  -2.334683  -1.016192 
65.700000  -5.291269  -1.267192  -0.414337  0.636766  -2.334375  -1.016091 
66.065000  -5.290632  -1.269527  -0.415353  0.638052  -2.334067  -1.015991 
66.430000  -5.289994  -1.271861  -0.416369  0.639338  -2.333759  -1.015890 
66.795000  -5.289355  -1.274194  -0.417385  0.640623  -2.333450  -1.015789 
67.160000  -5.288714  -1.276528  -0.418401  0.641908  -2.333140  -1.015687 
67.525000  -5.288072  -1.278861  -0.419416  0.643193  -2.332830  -1.015586 
67.890000  -5.287429  -1.281194  -0.420432  0.644478  -2.332519  -1.015484 
68.255000  -5.286785  -1.283526  -0.421447  0.645763  -2.332208  -1.015382 
68.620000  -5.286139  -1.285859  -0.422463  0.647048  -2.331896  -1.015279 
68.985000  -5.285492  -1.288190  -0.423478  0.648332  -2.331584  -1.015176 
69.350000  -5.284843  -1.290522  -0.424493  0.649616  -2.331271  -1.015074 
69.715000  -5.284194  -1.292853  -0.425508  0.650901  -2.330957  -1.014970 
70.080000  -5.283543  -1.295184  -0.426523  0.652185  -2.330643  -1.014867 
70.445000  -5.282891  -1.297515  -0.427538  0.653468  -2.330328  -1.014763 
70.810000  -5.282237  -1.299845  -0.428553  0.654752  -2.330013  -1.014660 
71.175000  -5.281583  -1.302175  -0.429568  0.656035  -2.329697  -1.014555 
71.540000  -5.280927  -1.304505  -0.430582  0.657319  -2.329381  -1.014451 
71.905000  -5.280269  -1.306834  -0.431597  0.658602  -2.329064  -1.014346 
72.270000  -5.279611  -1.309163  -0.432611  0.659885  -2.328746  -1.014242 
72.635000  -5.278951  -1.311492  -0.433625  0.661168  -2.328428  -1.014136 
73.000000  -5.278290  -1.313821  -0.434639  0.662451  -2.328110  -1.014031 
73.365000  -5.277627  -1.316149  -0.435653  0.663733  -2.327790  -1.013925 
73.730000  -5.276963  -1.318476  -0.436667  0.665015  -2.327470  -1.013820 
74.095000  -5.276298  -1.320804  -0.437681  0.666298  -2.327150  -1.013713 
74.460000  -5.275632  -1.323131  -0.438695  0.667580  -2.326829  -1.013607 
74.825000  -5.274964  -1.325458  -0.439708  0.668862  -2.326508  -1.013501 
75.190000  -5.274296  -1.327784  -0.440722  0.670143  -2.326186  -1.013394 
75.555000  -5.273625  -1.330111  -0.441735  0.671425  -2.325863  -1.013287 
75.920000  -5.272954  -1.332436  -0.442749  0.672706  -2.325540  -1.013179 
76.285000  -5.272281  -1.334762  -0.443762  0.673987  -2.325216  -1.013072 
76.650000  -5.271607  -1.337087  -0.444775  0.675269  -2.324892  -1.012964 
77.015000  -5.270932  -1.339412  -0.445788  0.676549  -2.324567  -1.012856 
77.380000  -5.270256  -1.341737  -0.446801  0.677830  -2.324241  -1.012747 
77.745000  -5.269578  -1.344061  -0.447813  0.679111  -2.323915  -1.012639 
78.110000  -5.268899  -1.346385  -0.448826  0.680391  -2.323589  -1.012530 
78.475000  -5.268218  -1.348708  -0.449839  0.681671  -2.323262  -1.012421 
