  Día         X          Y          Z         VX         VY         VZ 
0.000000  -0.832197  -1.178444  -0.517818  4.484634  -2.080665  1.076662 
0.036500  -0.831749  -1.178652  -0.517710  4.485547  -2.079373  1.077230 
0.073000  -0.831300  -1.178860  -0.517602  4.486459  -2.078080  1.077797 
0.109500  -0.830852  -1.179068  -0.517495  4.487370  -2.076787  1.078365 
0.146000  -0.830403  -1.179275  -0.517387  4.488282  -2.075494  1.078933 
0.182500  -0.829954  -1.179483  -0.517279  4.489193  -2.074200  1.079500 
0.219000  -0.829505  -1.179690  -0.517171  4.490104  -2.072905  1.080068 
0.255500  -0.829056  -1.179898  -0.517063  4.491015  -2.071610  1.080636 
0.292000  -0.828607  -1.180105  -0.516955  4.491925  -2.070315  1.081204 
0.328500  -0.828158  -1.180312  -0.516847  4.492835  -2.069019  1.081771 
0.365000  -0.827708  -1.180519  -0.516738  4.493745  -2.067722  1.082339 
0.401500  -0.827259  -1.180725  -0.516630  4.494655  -2.066425  1.082907 
0.438000  -0.826810  -1.180932  -0.516522  4.495564  -2.065127  1.083475 
0.474500  -0.826360  -1.181139  -0.516414  4.496473  -2.063829  1.084043 
0.511000  -0.825910  -1.181345  -0.516305  4.497381  -2.062530  1.084611 
0.547500  -0.825461  -1.181551  -0.516197  4.498290  -2.061230  1.085179 
0.584000  -0.825011  -1.181757  -0.516088  4.499198  -2.059931  1.085746 
0.620500  -0.824561  -1.181963  -0.515980  4.500106  -2.058630  1.086314 
0.657000  -0.824111  -1.182169  -0.515871  4.501013  -2.057329  1.086882 
0.693500  -0.823661  -1.182375  -0.515762  4.501921  -2.056028  1.087450 
0.730000  -0.823211  -1.182581  -0.515654  4.502828  -2.054726  1.088018 
0.766500  -0.822760  -1.182786  -0.515545  4.503734  -2.053423  1.088586 
0.803000  -0.822310  -1.182991  -0.515436  4.504641  -2.052120  1.089154 
0.839500  -0.821860  -1.183197  -0.515327  4.505547  -2.050817  1.089722 
0.876000  -0.821409  -1.183402  -0.515218  4.506453  -2.049512  1.090290 
0.912500  -0.820958  -1.183607  -0.515109  4.507358  -2.048208  1.090858 
0.949000  -0.820508  -1.183811  -0.515000  4.508264  -2.046903  1.091426 
0.985500  -0.820057  -1.184016  -0.514891  4.509169  -2.045597  1.091994 
1.022000  -0.819606  -1.184221  -0.514782  4.510073  -2.044291  1.092562 
1.058500  -0.819155  -1.184425  -0.514672  4.510978  -2.042984  1.093130 
1.095000  -0.818704  -1.184629  -0.514563  4.511882  -2.041676  1.093698 
1.131500  -0.818253  -1.184834  -0.514454  4.512786  -2.040369  1.094266 
1.168000  -0.817801  -1.185038  -0.514344  4.513689  -2.039060  1.094835 
1.204500  -0.817350  -1.185241  -0.514235  4.514593  -2.037751  1.095403 
1.241000  -0.816898  -1.185445  -0.514125  4.515496  -2.036442  1.095971 
1.277500  -0.816447  -1.185649  -0.514016  4.516399  -2.035132  1.096539 
1.314000  -0.815995  -1.185852  -0.513906  4.517301  -2.033821  1.097107 
1.350500  -0.815544  -1.186056  -0.513796  4.518203  -2.032510  1.097675 
1.387000  -0.815092  -1.186259  -0.513686  4.519105  -2.031198  1.098243 
1.423500  -0.814640  -1.186462  -0.513577  4.520007  -2.029886  1.098812 
1.460000  -0.814188  -1.186665  -0.513467  4.520908  -2.028574  1.099380 
1.496500  -0.813736  -1.186868  -0.513357  4.521809  -2.027260  1.099948 
1.533000  -0.813284  -1.187071  -0.513247  4.522710  -2.025947  1.100516 
1.569500  -0.812831  -1.187273  -0.513137  4.523610  -2.024632  1.101085 
1.606000  -0.812379  -1.187476  -0.513027  4.524510  -2.023318  1.101653 
1.642500  -0.811926  -1.187678  -0.512916  4.525410  -2.022002  1.102221 
1.679000  -0.811474  -1.187880  -0.512806  4.526310  -2.020686  1.102789 
1.715500  -0.811021  -1.188082  -0.512696  4.527209  -2.019370  1.103358 
1.752000  -0.810569  -1.188284  -0.512586  4.528108  -2.018053  1.103926 
1.788500  -0.810116  -1.188486  -0.512475  4.529007  -2.016735  1.104494 
1.825000  -0.809663  -1.188688  -0.512365  4.529905  -2.015417  1.105063 
1.861500  -0.809210  -1.188889  -0.512254  4.530803  -2.014099  1.105631 
1.898000  -0.808757  -1.189091  -0.512144  4.531701  -2.012780  1.106199 
1.934500  -0.808304  -1.189292  -0.512033  4.532599  -2.011460  1.106768 
1.971000  -0.807850  -1.189493  -0.511922  4.533496  -2.010140  1.107336 
2.007500  -0.807397  -1.189694  -0.511812  4.534393  -2.008819  1.107904 
2.044000  -0.806944  -1.189895  -0.511701  4.535289  -2.007498  1.108473 
2.080500  -0.806490  -1.190096  -0.511590  4.536186  -2.006176  1.109041 
2.117000  -0.806036  -1.190296  -0.511479  4.537082  -2.004854  1.109610 
2.153500  -0.805583  -1.190497  -0.511368  4.537978  -2.003531  1.110178 
2.190000  -0.805129  -1.190697  -0.511257  4.538873  -2.002208  1.110747 
2.226500  -0.804675  -1.190898  -0.511146  4.539768  -2.000884  1.111315 
2.263000  -0.804221  -1.191098  -0.511035  4.540663  -1.999559  1.111884 
2.299500  -0.803767  -1.191298  -0.510924  4.541558  -1.998234  1.112452 
2.336000  -0.803313  -1.191497  -0.510813  4.542452  -1.996909  1.113020 
2.372500  -0.802859  -1.191697  -0.510701  4.543346  -1.995583  1.113589 
2.409000  -0.802404  -1.191897  -0.510590  4.544240  -1.994256  1.114158 
2.445500  -0.801950  -1.192096  -0.510478  4.545134  -1.992929  1.114726 
2.482000  -0.801495  -1.192295  -0.510367  4.546027  -1.991601  1.115295 
2.518500  -0.801041  -1.192495  -0.510255  4.546920  -1.990273  1.115863 
2.555000  -0.800586  -1.192694  -0.510144  4.547812  -1.988944  1.116432 
2.591500  -0.800131  -1.192892  -0.510032  4.548704  -1.987615  1.117000 
2.628000  -0.799676  -1.193091  -0.509921  4.549596  -1.986285  1.117569 
2.664500  -0.799221  -1.193290  -0.509809  4.550488  -1.984955  1.118137 
2.701000  -0.798766  -1.193488  -0.509697  4.551379  -1.983624  1.118706 
2.737500  -0.798311  -1.193687  -0.509585  4.552271  -1.982293  1.119275 
2.774000  -0.797856  -1.193885  -0.509473  4.553161  -1.980961  1.119843 
2.810500  -0.797401  -1.194083  -0.509361  4.554052  -1.979628  1.120412 
2.847000  -0.796945  -1.194281  -0.509249  4.554942  -1.978295  1.120980 
2.883500  -0.796490  -1.194479  -0.509137  4.555832  -1.976962  1.121549 
2.920000  -0.796034  -1.194676  -0.509025  4.556722  -1.975627  1.122118 
2.956500  -0.795579  -1.194874  -0.508913  4.557611  -1.974293  1.122686 
2.993000  -0.795123  -1.195071  -0.508800  4.558500  -1.972958  1.123255 
3.029500  -0.794667  -1.195269  -0.508688  4.559389  -1.971622  1.123824 
3.066000  -0.794211  -1.195466  -0.508576  4.560277  -1.970286  1.124393 
3.102500  -0.793755  -1.195663  -0.508463  4.561165  -1.968949  1.124961 
3.139000  -0.793299  -1.195860  -0.508351  4.562053  -1.967611  1.125530 
3.175500  -0.792843  -1.196057  -0.508238  4.562940  -1.966274  1.126099 
3.212000  -0.792386  -1.196253  -0.508126  4.563828  -1.964935  1.126667 
3.248500  -0.791930  -1.196450  -0.508013  4.564715  -1.963596  1.127236 
3.285000  -0.791473  -1.196646  -0.507900  4.565601  -1.962257  1.127805 
3.321500  -0.791017  -1.196842  -0.507787  4.566487  -1.960917  1.128374 
3.358000  -0.790560  -1.197038  -0.507675  4.567373  -1.959576  1.128942 
3.394500  -0.790104  -1.197234  -0.507562  4.568259  -1.958235  1.129511 
3.431000  -0.789647  -1.197430  -0.507449  4.569145  -1.956893  1.130080 
